sku;title;variantkey;variant:Storlek;variant:Färg;priceisinclvat;moneyprice;moneypricein;vatid;defaultcategoryid;stockcountenable;stockallowbackorder;barcode;custom1;custom2;custom3;custom4;custom5;descriptionshort;description;manufacturerid
AMRITSAR-V445-8302-92590;La Chemise Norrmalm XLÄ;18;39;;true;898;183;2;272;true;true;7333289092590;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
AMRITSAR-V445-8302-92606;La Chemise Norrmalm XLÄ;18;40;;true;898;183;2;272;true;true;7333289092606;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
AMRITSAR-V445-8302-92613;La Chemise Norrmalm XLÄ;18;41;;true;898;183;2;272;true;true;7333289092613;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
AMRITSAR-V445-8302-92620;La Chemise Norrmalm XLÄ;18;42;;true;898;183;2;272;true;true;7333289092620;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
AMRITSAR-V445-8302-92637;La Chemise Norrmalm XLÄ;18;43;;true;898;183;2;272;true;true;7333289092637;AMRITSAR V445 - 8302;v21;;;;ros ran (em);Rosa linne;73
AMRTISAR-BLUE-U799/8-92644;La Chemise Norrmalm XLÄ;19;38;;true;898;145;2;272;true;true;7333289092644;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-BLUE-U799/8-92651;La Chemise Norrmalm XLÄ;19;39;;true;898;145;2;272;true;true;7333289092651;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-BLUE-U799/8-92668;La Chemise Norrmalm XLÄ;19;40;;true;898;145;2;272;true;true;7333289092668;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-BLUE-U799/8-92675;La Chemise Norrmalm XLÄ;19;41;;true;898;145;2;272;true;true;7333289092675;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-BLUE-U799/8-92682;La Chemise Norrmalm XLÄ;19;42;;true;898;145;2;272;true;true;7333289092682;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-BLUE-U799/8-92699;La Chemise Norrmalm XLÄ;19;43;;true;898;145;2;272;true;true;7333289092699;AMRTISAR BLUE U799/8802;v21;;;;blå ran (em lin);Linne. Blå/Vit storrandig;73
AMRTISAR-GREEN-U799/-92705;La Chemise Norrmalm XLÄ;20;38;;true;898;145;2;272;true;true;7333289092705;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
AMRTISAR-GREEN-U799/-92712;La Chemise Norrmalm XLÄ;20;39;;true;898;145;2;272;true;true;7333289092712;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
AMRTISAR-GREEN-U799/-92729;La Chemise Norrmalm XLÄ;20;40;;true;898;145;2;272;true;true;7333289092729;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
AMRTISAR-GREEN-U799/-92736;La Chemise Norrmalm XLÄ;20;41;;true;898;145;2;272;true;true;7333289092736;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
AMRTISAR-GREEN-U799/-92743;La Chemise Norrmalm XLÄ;20;42;;true;898;145;2;272;true;true;7333289092743;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
AMRTISAR-GREEN-U799/-92750;La Chemise Norrmalm XLÄ;20;43;;true;898;145;2;272;true;true;7333289092750;AMRTISAR GREEN U799/8902;v21;;;;grö ran (em lin);Linne. Grön/Vit storrandig;73
BLACK-LINEN-92767;La Chemise Norrmalm XLÄ;21;38;;true;898;183;2;272;true;true;7333289092767;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
BLACK-LINEN-92774;La Chemise Norrmalm XLÄ;21;39;;true;898;183;2;272;true;true;7333289092774;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
BLACK-LINEN-92781;La Chemise Norrmalm XLÄ;21;40;;true;898;183;2;272;true;true;7333289092781;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
BLACK-LINEN-92798;La Chemise Norrmalm XLÄ;21;41;;true;898;183;2;272;true;true;7333289092798;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
BLACK-LINEN-92804;La Chemise Norrmalm XLÄ;21;42;;true;898;183;2;272;true;true;7333289092804;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
BLACK-LINEN-92811;La Chemise Norrmalm XLÄ;21;43;;true;898;183;2;272;true;true;7333289092811;BLACK LINEN;v21;;;;sva enf (em lin);Linne;73
